side,entry_p,sl,tp,lot,cb,cs,pt,time,pnl,exit,exit_price,time_clean,month
BUY,0.67065,0.6704445714285714,0.6709789285714286,1.0,6,2,True,2025-12-26 06:15:00,-2.054285714285786,SL,,2025-12-26 06:15:00,2025-12
SELL,0.67232,0.6724928571428571,0.6720521428571429,0.5,3,5,,2026-01-08 03:30:00,1.0044642857143238,PARTIAL_TP,0.6721191071428572,2026-01-08 03:30:00,2026-01
SELL,0.67232,0.6724928571428571,0.6720521428571429,0.5,3,5,False,2026-01-08 03:05:00,1.339285714285765,TP,,2026-01-08 03:05:00,2026-01
SELL,0.6695,0.6697037142857144,0.6691367857142857,1.0,0,5,True,2026-01-14 05:00:00,-2.0371428571441808,SL,,2026-01-14 05:00:00,2026-01
BUY,0.67004,0.6698637142857143,0.6703517857142857,1.0,6,0,True,2026-01-16 14:45:00,-1.762857142856289,SL,,2026-01-16 14:45:00,2026-01
SELL,0.70044,0.7009722857142857,0.6995732142857143,0.9400000000000001,0,6,True,2026-01-30 10:00:00,8.147785714285273,TP,,2026-01-30 10:00:00,2026-01
BUY,0.70763,0.7070657142857142,0.7085192857142857,0.445,5,1,,2026-03-02 22:35:00,2.9679910714282887,PARTIAL_TP,0.7082969642857142,2026-03-02 22:35:00,2026-03
BUY,0.70763,0.7070657142857142,0.7085192857142857,0.445,5,1,False,2026-03-02 22:25:00,3.957321428571381,TP,,2026-03-02 22:25:00,2026-03
SELL,0.70433,0.7054457142857143,0.7025567857142857,0.225,0,6,,2026-03-19 17:30:00,2.9922991071430207,PARTIAL_TP,0.7030000892857142,2026-03-19 17:30:00,2026-03
SELL,0.70433,0.7054457142857143,0.7025567857142857,0.225,0,6,False,2026-03-19 17:15:00,-2.5103571428572447,SL,,2026-03-19 17:15:00,2026-03
SELL,0.70068,0.7025294285714285,0.6975685714285714,0.27,2,6,True,2026-03-23 14:25:00,-4.993457142857105,SL,,2026-03-23 14:25:00,2026-03
SELL,0.69761,0.6979651428571428,0.6970753571428571,1.0,0,5,True,2026-03-25 10:10:00,5.346428571428863,TP,,2026-03-25 10:10:00,2026-03
SELL,0.69553,0.6957371428571429,0.6951603571428572,0.5,0,5,,2026-03-26 07:55:00,1.3861607142856558,PARTIAL_TP,0.6952527678571429,2026-03-26 07:55:00,2026-03
SELL,0.69553,0.6957371428571429,0.6951603571428572,0.5,0,5,False,2026-03-26 07:45:00,1.8482142857140227,TP,,2026-03-26 07:45:00,2026-03
BUY,0.69109,0.6907822857142857,0.6915732142857143,1.0,6,0,True,2026-04-01 05:55:00,103.80000000000055,MARKET,,2026-04-01 05:55:00,2026-04
BUY,0.69101,0.69075,0.69146,1.0,6,0,True,2026-04-01 06:10:00,104.60000000000025,MARKET,,2026-04-01 06:10:00,2026-04
