side,entry_p,sl,tp,lot,cb,cs,pt,time,pnl,exit,exit_price,time_clean,month
BUY,1.17728,1.1769074285714287,1.1779035714285715,1.0,6,0,True,2025-12-26 18:05:00,-3.725714285713888,SL,,2025-12-26 18:05:00,2025-12
SELL,1.17699,1.1772237142857143,1.1766642857142857,1.0,2,5,True,2025-12-29 22:55:00,-2.3371428571428154,SL,,2025-12-29 22:55:00,2025-12
BUY,1.17576,1.1756068571428573,1.1759721428571428,1.0,5,1,True,2026-01-02 06:25:00,-1.5314285714262965,SL,,2026-01-02 06:25:00,2026-01
SELL,1.16842,1.1689768571428572,1.1677321428571428,0.89,2,6,True,2026-01-05 16:50:00,-4.956028571428517,SL,,2026-01-05 16:50:00,2026-01
SELL,1.16992,1.170381142857143,1.169130357142857,0.5,0,5,,2026-01-05 17:45:00,2.961160714286537,PARTIAL_TP,1.1693277678571428,2026-01-05 17:45:00,2026-01
SELL,1.16992,1.170381142857143,1.169130357142857,0.5,0,5,False,2026-01-05 17:30:00,-2.3057142857141333,SL,,2026-01-05 17:30:00,2026-01
SELL,1.1703999999999999,1.170850857142857,1.1695546428571426,1.0,0,5,True,2026-01-05 17:55:00,-4.5085714285719725,SL,,2026-01-05 17:55:00,2026-01
SELL,1.16458,1.1647368571428571,1.1643421428571428,1.0,2,6,True,2026-01-14 05:30:00,-1.5685714285718078,SL,,2026-01-14 05:30:00,2026-01
SELL,1.16131,1.1615425714285714,1.1609864285714286,0.5,0,6,,2026-01-16 09:15:00,1.2133928571433916,PARTIAL_TP,1.1610673214285714,2026-01-16 09:15:00,2026-01
SELL,1.16131,1.1615425714285714,1.1609864285714286,0.5,0,6,False,2026-01-16 09:10:00,1.6178571428571153,TP,,2026-01-16 09:10:00,2026-01
BUY,1.19402,1.1934542857142856,1.1949682142857143,0.87,5,0,True,2026-01-30 02:35:00,-4.921714285716172,SL,,2026-01-30 02:35:00,2026-01
SELL,1.19485,1.1954197142857144,1.1940067857142858,0.86,0,5,True,2026-01-30 13:55:00,449.178,MARKET,,2026-01-30 13:55:00,2026-01
SELL,1.19498,1.195468857142857,1.1940821428571429,1.0,0,5,True,2026-01-30 14:05:00,523.5999999999996,MARKET,,2026-01-30 14:05:00,2026-01
