side,entry_p,sl,tp,lot,cb,cs,pt,time,pnl,exit,exit_price
SELL,1.34123,1.3415199285714285,1.3387646179689026,1.0,2,6,True,2026-01-12 02:10:00,-2.899285714286215,SL,
SELL,1.3546,1.355532857142857,1.3512255404072002,0.53,0,7,True,2026-02-17 19:35:00,-4.944142857142464,SL,
BUY,1.33493,1.3345922857142856,1.337496063080712,1.0,6,2,True,2026-03-18 10:45:00,-3.3771428571438555,SL,
SELL,1.33442,1.335972857142857,1.3306991655399851,0.16,2,6,,2026-03-27 10:40:00,4.46500135201795,PARTIAL_TP,1.3316293741549887
SELL,1.33442,1.335972857142857,1.3306991655399851,0.16,2,6,False,2026-03-26 23:10:00,5.953335136023697,TP,
SELL,1.32291,1.323337142857143,1.3216848003653352,1.0,2,6,True,2026-04-07 07:40:00,-4.271428571429592,SL,
BUY,1.34913,1.3487835,1.351150825586504,1.0,6,2,True,2026-05-26 00:30:00,-3.4650000000002734,SL,
SELL,1.34525,1.3457536428571428,1.3428562956458174,0.98,4,6,True,2026-05-27 15:35:00,23.458302670989717,TP,
SELL,1.34063,1.3414171428571429,1.3375075651248125,0.64,0,8,True,2026-05-28 09:35:00,-5.037714285714402,SL,
SELL,1.33592,1.336910642857143,1.3315246537203953,0.51,0,7,True,2026-06-08 14:20:00,-5.052278571428781,SL,
BUY,1.34005,1.3398033571428571,1.3417587877953094,1.0,6,2,True,2026-06-12 08:35:00,-24.200000000000887,MARKET,
BUY,1.3400400000000001,1.3398037857142857,1.341765991639261,1.0,6,2,True,2026-06-12 08:40:00,-24.100000000002453,MARKET,
